no,slug,name,category,reliability,coinedYear,namedAfter,url
116,sarnoffs-law,Sarnoff's Law,technology,Heuristic,1999,David Sarnoff,https://conyso.com/lawtome/laws/sarnoffs-law/
117,kryders-law,Kryder's Law,technology,Empirical,2005,Mark Kryder,https://conyso.com/lawtome/laws/kryders-law/
118,koomeys-law,Koomey's Law,technology,Empirical,2011,Jonathan Koomey,https://conyso.com/lawtome/laws/koomeys-law/
119,groschs-law,Grosch's Law,technology,Contested,1965,Herbert Grosch,https://conyso.com/lawtome/laws/groschs-law/
120,wiios-laws,Wiio's Laws,media,Folk-adage,1978,Osmo Antero Wiio,https://conyso.com/lawtome/laws/wiios-laws/
121,dollos-law,Dollo's Law of Irreversibility,biology,Contested,1893,Louis Dollo,https://conyso.com/lawtome/laws/dollos-law/
122,copes-rule,Cope's Rule,biology,Contested,1948,Edward Drinker Cope,https://conyso.com/lawtome/laws/copes-rule/
124,liebigs-law-of-the-minimum,Liebig's Law of the Minimum,biology,Empirical,1840,Justus von Liebig,https://conyso.com/lawtome/laws/liebigs-law-of-the-minimum/
125,kleibers-law,Kleiber's Law,biology,Empirical,1932,Max Kleiber,https://conyso.com/lawtome/laws/kleibers-law/
126,bergmanns-rule,Bergmann's Rule,biology,Empirical,1847,Carl Bergmann,https://conyso.com/lawtome/laws/bergmanns-rule/
127,allens-rule,Allen's Rule,biology,Contested,1877,Joel Asaph Allen,https://conyso.com/lawtome/laws/allens-rule/
128,glogers-rule,Gloger's Rule,biology,Empirical,1833,Constantin Wilhelm Lambert Gloger,https://conyso.com/lawtome/laws/glogers-rule/
129,finagles-law,Finagle's Law,media,Folk-adage,1962,The fictional Finagle,https://conyso.com/lawtome/laws/finagles-law/
130,sods-law,Sod's Law,media,Folk-adage,1995,The 'unlucky sod',https://conyso.com/lawtome/laws/sods-law/
131,muphrys-law,Muphry's Law,media,Folk-adage,1992,A misspelling of Murphy,https://conyso.com/lawtome/laws/muphrys-law/
132,hutbers-law,Hutber's Law,economics,Folk-adage,1970,Patrick Hutber,https://conyso.com/lawtome/laws/hutbers-law/
133,cheops-law,Cheops' Law,planning,Folk-adage,1973,The pharaoh Cheops,https://conyso.com/lawtome/laws/cheops-law/
134,ohms-law,Ohm's Law,physics,Empirical,1827,Georg Simon Ohm,https://conyso.com/lawtome/laws/ohms-law/
135,hookes-law,Hooke's Law,physics,Empirical,1678,Robert Hooke,https://conyso.com/lawtome/laws/hookes-law/
136,boyles-law,Boyle's Law,chemistry,Empirical,1662,Robert Boyle,https://conyso.com/lawtome/laws/boyles-law/
138,gay-lussacs-law,Gay-Lussac's Law,chemistry,Empirical,,Joseph Louis Gay-Lussac,https://conyso.com/lawtome/laws/gay-lussacs-law/
139,avogadros-law,Avogadro's Law,chemistry,Empirical,1811,Amedeo Avogadro,https://conyso.com/lawtome/laws/avogadros-law/
140,newtons-law-of-cooling,Newton's Law of Cooling,physics,Empirical,1701,Isaac Newton,https://conyso.com/lawtome/laws/newtons-law-of-cooling/
141,keplers-laws-of-planetary-motion,Kepler's Laws of Planetary Motion,astronomy,Empirical,1609,Johannes Kepler,https://conyso.com/lawtome/laws/keplers-laws-of-planetary-motion/
142,snells-law,Snell's Law,physics,Empirical,1621,Willebrord Snellius,https://conyso.com/lawtome/laws/snells-law/
143,coulombs-law,Coulomb's Law,physics,Empirical,1785,Charles-Augustin de Coulomb,https://conyso.com/lawtome/laws/coulombs-law/
144,faradays-law-of-induction,Faraday's Law of Induction,physics,Empirical,1831,Michael Faraday,https://conyso.com/lawtome/laws/faradays-law-of-induction/
145,lenzs-law,Lenz's Law,physics,Empirical,1834,Heinrich Lenz,https://conyso.com/lawtome/laws/lenzs-law/
146,amperes-law,Ampère's Law,physics,Empirical,1826,André-Marie Ampère,https://conyso.com/lawtome/laws/amperes-law/
147,bernoullis-principle,Bernoulli's Principle,physics,Empirical,1738,Daniel Bernoulli,https://conyso.com/lawtome/laws/bernoullis-principle/
148,archimedes-principle,Archimedes' Principle,physics,Empirical,,Archimedes of Syracuse,https://conyso.com/lawtome/laws/archimedes-principle/
149,pascals-law,Pascal's Law,physics,Empirical,1653,Blaise Pascal,https://conyso.com/lawtome/laws/pascals-law/
150,stefan-boltzmann-law,The Stefan–Boltzmann Law,physics,Empirical,1879,Josef Stefan and Ludwig Boltzmann,https://conyso.com/lawtome/laws/stefan-boltzmann-law/
151,wiens-displacement-law,Wien's Displacement Law,physics,Empirical,1893,Wilhelm Wien,https://conyso.com/lawtome/laws/wiens-displacement-law/
152,plancks-law,Planck's Law,physics,Empirical,1900,Max Planck,https://conyso.com/lawtome/laws/plancks-law/
155,henrys-law,Henry's Law,chemistry,Empirical,1803,William Henry,https://conyso.com/lawtome/laws/henrys-law/
156,raoults-law,Raoult's Law,chemistry,Empirical,1887,François-Marie Raoult,https://conyso.com/lawtome/laws/raoults-law/
157,daltons-law,Dalton's Law of Partial Pressures,chemistry,Empirical,1801,John Dalton,https://conyso.com/lawtome/laws/daltons-law/
158,hubbles-law,Hubble's Law,astronomy,Empirical,1929,Edwin Hubble,https://conyso.com/lawtome/laws/hubbles-law/
159,curies-law,Curie's Law,physics,Empirical,1895,Pierre Curie,https://conyso.com/lawtome/laws/curies-law/
160,le-chateliers-principle,Le Chatelier's Principle,chemistry,Heuristic,1884,Henry Le Chatelier,https://conyso.com/lawtome/laws/le-chateliers-principle/
161,hesss-law,Hess's Law,chemistry,Empirical,1840,Germain Hess,https://conyso.com/lawtome/laws/hesss-law/
162,arrhenius-equation,The Arrhenius Equation,chemistry,Empirical,1889,Svante Arrhenius,https://conyso.com/lawtome/laws/arrhenius-equation/
164,faradays-laws-of-electrolysis,Faraday's Laws of Electrolysis,chemistry,Empirical,1834,Michael Faraday,https://conyso.com/lawtome/laws/faradays-laws-of-electrolysis/
165,beer-lambert-law,The Beer–Lambert Law,chemistry,Empirical,1852,August Beer and Johann Heinrich Lambert,https://conyso.com/lawtome/laws/beer-lambert-law/
166,braggs-law,Bragg's Law,physics,Empirical,1913,William Lawrence Bragg and William Henry Bragg,https://conyso.com/lawtome/laws/braggs-law/
167,maluss-law,Malus's Law,physics,Empirical,1809,Étienne-Louis Malus,https://conyso.com/lawtome/laws/maluss-law/
168,kirchhoffs-circuit-laws,Kirchhoff's Circuit Laws,physics,Empirical,1845,Gustav Kirchhoff,https://conyso.com/lawtome/laws/kirchhoffs-circuit-laws/
169,kirchhoffs-law-of-thermal-radiation,Kirchhoff's Law of Thermal Radiation,physics,Empirical,1859,Gustav Kirchhoff,https://conyso.com/lawtome/laws/kirchhoffs-law-of-thermal-radiation/
171,biot-savart-law,The Biot–Savart Law,physics,Empirical,1820,Jean-Baptiste Biot and Félix Savart,https://conyso.com/lawtome/laws/biot-savart-law/
172,nernst-equation,The Nernst Equation,chemistry,Empirical,1889,Walther Nernst,https://conyso.com/lawtome/laws/nernst-equation/
173,central-limit-theorem,The Central Limit Theorem,statistics,Empirical,,,https://conyso.com/lawtome/laws/central-limit-theorem/
174,law-of-large-numbers,The Law of Large Numbers,statistics,Empirical,1713,,https://conyso.com/lawtome/laws/law-of-large-numbers/
175,bayes-theorem,Bayes' Theorem,statistics,Empirical,1763,Thomas Bayes,https://conyso.com/lawtome/laws/bayes-theorem/
176,the-monty-hall-problem,The Monty Hall Problem,statistics,Empirical,1975,Monty Hall,https://conyso.com/lawtome/laws/the-monty-hall-problem/
177,the-birthday-problem,The Birthday Problem,statistics,Empirical,1939,,https://conyso.com/lawtome/laws/the-birthday-problem/
178,the-st-petersburg-paradox,The St. Petersburg Paradox,statistics,Contested,1738,,https://conyso.com/lawtome/laws/the-st-petersburg-paradox/
179,the-gamblers-fallacy,The Gambler's Fallacy,psychology,Empirical,1913,The Monte Carlo Casino,https://conyso.com/lawtome/laws/the-gamblers-fallacy/
180,the-friendship-paradox,The Friendship Paradox,sociology,Empirical,1991,Scott L. Feld,https://conyso.com/lawtome/laws/the-friendship-paradox/
181,the-base-rate-fallacy,The Base Rate Fallacy,psychology,Empirical,1973,Amos Tversky and Daniel Kahneman,https://conyso.com/lawtome/laws/the-base-rate-fallacy/
182,littles-law,Little's Law,planning,Empirical,1961,John D. C. Little,https://conyso.com/lawtome/laws/littles-law/
183,the-pigeonhole-principle,The Pigeonhole Principle,statistics,Empirical,1834,Peter Gustav Lejeune Dirichlet,https://conyso.com/lawtome/laws/the-pigeonhole-principle/
184,arrows-impossibility-theorem,Arrow's Impossibility Theorem,sociology,Empirical,1951,Kenneth Arrow,https://conyso.com/lawtome/laws/arrows-impossibility-theorem/
185,the-condorcet-paradox,The Condorcet Paradox,sociology,Empirical,1785,The Marquis de Condorcet,https://conyso.com/lawtome/laws/the-condorcet-paradox/
186,hardy-weinberg-principle,The Hardy-Weinberg Principle,biology,Empirical,1908,G. H. Hardy and Wilhelm Weinberg,https://conyso.com/lawtome/laws/hardy-weinberg-principle/
187,fishers-principle,Fisher's Principle,biology,Empirical,1930,Ronald A. Fisher,https://conyso.com/lawtome/laws/fishers-principle/
188,the-red-queen-hypothesis,The Red Queen Hypothesis,biology,Contested,1973,The Red Queen in Lewis Carroll's Through the Looking-Glass,https://conyso.com/lawtome/laws/the-red-queen-hypothesis/
189,mullers-ratchet,Muller's Ratchet,biology,Empirical,1964,Hermann J. Muller,https://conyso.com/lawtome/laws/mullers-ratchet/
190,lotka-volterra-equations,The Lotka-Volterra Equations,biology,Empirical,1926,Alfred J. Lotka and Vito Volterra,https://conyso.com/lawtome/laws/lotka-volterra-equations/
191,haldanes-rule,Haldane's Rule,biology,Empirical,1922,J. B. S. Haldane,https://conyso.com/lawtome/laws/haldanes-rule/
192,fosters-rule,Foster's Rule,biology,Contested,1964,J. Bristol Foster,https://conyso.com/lawtome/laws/fosters-rule/
193,batemans-principle,Bateman's Principle,biology,Contested,1948,Angus John Bateman,https://conyso.com/lawtome/laws/batemans-principle/
194,the-handicap-principle,The Handicap Principle,biology,Contested,1975,Amotz Zahavi,https://conyso.com/lawtome/laws/the-handicap-principle/
195,petos-paradox,Peto's Paradox,biology,Empirical,1977,Richard Peto,https://conyso.com/lawtome/laws/petos-paradox/
196,renschs-rule,Rensch's Rule,biology,Empirical,1950,Bernhard Rensch,https://conyso.com/lawtome/laws/renschs-rule/
197,von-baers-laws,Von Baer's Laws,biology,Empirical,1828,Karl Ernst von Baer,https://conyso.com/lawtome/laws/von-baers-laws/
198,emerys-rule,Emery's Rule,biology,Empirical,1909,Carlo Emery,https://conyso.com/lawtome/laws/emerys-rule/
199,engels-law,Engel's Law,economics,Empirical,1857,Ernst Engel,https://conyso.com/lawtome/laws/engels-law/
201,the-law-of-one-price,The Law of One Price,economics,Heuristic,,,https://conyso.com/lawtome/laws/the-law-of-one-price/
202,the-lucas-critique,The Lucas Critique,economics,Heuristic,1976,Robert Lucas,https://conyso.com/lawtome/laws/the-lucas-critique/
203,baumols-cost-disease,Baumol's Cost Disease,economics,Empirical,1966,William J. Baumol,https://conyso.com/lawtome/laws/baumols-cost-disease/
204,the-coase-theorem,The Coase Theorem,economics,Contested,1960,Ronald Coase,https://conyso.com/lawtome/laws/the-coase-theorem/
205,the-modigliani-miller-theorem,The Modigliani-Miller Theorem,economics,Heuristic,1958,Franco Modigliani and Merton Miller,https://conyso.com/lawtome/laws/the-modigliani-miller-theorem/
206,gibrats-law,Gibrat's Law,economics,Contested,1931,Robert Gibrat,https://conyso.com/lawtome/laws/gibrats-law/
207,wrights-law,Wright's Law,economics,Empirical,1936,Theodore Paul Wright,https://conyso.com/lawtome/laws/wrights-law/
208,the-laffer-curve,The Laffer Curve,economics,Contested,1974,Arthur Laffer,https://conyso.com/lawtome/laws/the-laffer-curve/
209,duvergers-law,Duverger's Law,sociology,Empirical,1951,Maurice Duverger,https://conyso.com/lawtome/laws/duvergers-law/
210,wagners-law,Wagner's Law,economics,Empirical,1883,Adolph Wagner,https://conyso.com/lawtome/laws/wagners-law/
212,newtons-laws-of-motion,Newton's Laws of Motion,physics,Empirical,1687,Isaac Newton,https://conyso.com/lawtome/laws/newtons-laws-of-motion/
213,newtons-law-of-universal-gravitation,Newton's Law of Universal Gravitation,physics,Empirical,1687,Isaac Newton,https://conyso.com/lawtome/laws/newtons-law-of-universal-gravitation/
214,the-conservation-of-energy,The Conservation of Energy,physics,Empirical,1847,,https://conyso.com/lawtome/laws/the-conservation-of-energy/
215,the-second-law-of-thermodynamics,The Second Law of Thermodynamics,physics,Empirical,1865,,https://conyso.com/lawtome/laws/the-second-law-of-thermodynamics/
216,noethers-theorem,Noether's Theorem,physics,Empirical,1918,Emmy Noether,https://conyso.com/lawtome/laws/noethers-theorem/
217,heisenbergs-uncertainty-principle,Heisenberg's Uncertainty Principle,physics,Empirical,1927,Werner Heisenberg,https://conyso.com/lawtome/laws/heisenbergs-uncertainty-principle/
218,the-pauli-exclusion-principle,The Pauli Exclusion Principle,physics,Empirical,1925,Wolfgang Pauli,https://conyso.com/lawtome/laws/the-pauli-exclusion-principle/
219,the-doppler-effect,The Doppler Effect,physics,Empirical,1842,Christian Doppler,https://conyso.com/lawtome/laws/the-doppler-effect/
220,the-nyquist-shannon-sampling-theorem,The Nyquist-Shannon Sampling Theorem,technology,Empirical,1949,Harry Nyquist and Claude Shannon,https://conyso.com/lawtome/laws/the-nyquist-shannon-sampling-theorem/
221,godels-incompleteness-theorems,Gödel's Incompleteness Theorems,logic,Empirical,1931,Kurt Gödel,https://conyso.com/lawtome/laws/godels-incompleteness-theorems/
222,the-halting-problem,The Halting Problem,software,Empirical,1936,Alan Turing,https://conyso.com/lawtome/laws/the-halting-problem/
223,the-pythagorean-theorem,The Pythagorean Theorem,mathematics,Empirical,,Pythagoras of Samos,https://conyso.com/lawtome/laws/the-pythagorean-theorem/
224,eulers-identity,Euler's Identity,mathematics,Empirical,1748,Leonhard Euler,https://conyso.com/lawtome/laws/eulers-identity/
225,kolmogorov-complexity,Kolmogorov Complexity,software,Empirical,1965,Andrey Kolmogorov,https://conyso.com/lawtome/laws/kolmogorov-complexity/
226,the-church-turing-thesis,The Church-Turing Thesis,software,Heuristic,1936,Alonzo Church and Alan Turing,https://conyso.com/lawtome/laws/the-church-turing-thesis/
227,the-p-versus-np-problem,The P versus NP Problem,software,Contested,1971,Stephen Cook and Leonid Levin,https://conyso.com/lawtome/laws/the-p-versus-np-problem/
228,the-no-free-lunch-theorem,The No Free Lunch Theorem,software,Empirical,1997,David Wolpert and William Macready,https://conyso.com/lawtome/laws/the-no-free-lunch-theorem/
229,the-cap-theorem,The CAP Theorem,software,Empirical,2002,Eric Brewer,https://conyso.com/lawtome/laws/the-cap-theorem/
230,the-two-generals-problem,The Two Generals' Problem,software,Empirical,1975,,https://conyso.com/lawtome/laws/the-two-generals-problem/
231,the-byzantine-generals-problem,The Byzantine Generals Problem,software,Empirical,1982,"Leslie Lamport, Robert Shostak, and Marshall Pease",https://conyso.com/lawtome/laws/the-byzantine-generals-problem/
232,rices-theorem,Rice's Theorem,software,Empirical,1953,Henry Gordon Rice,https://conyso.com/lawtome/laws/rices-theorem/
233,shannons-source-coding-theorem,Shannon's Source Coding Theorem,technology,Empirical,1948,Claude Shannon,https://conyso.com/lawtome/laws/shannons-source-coding-theorem/
234,the-four-color-theorem,The Four Color Theorem,mathematics,Empirical,1976,Francis Guthrie,https://conyso.com/lawtome/laws/the-four-color-theorem/
235,cantors-theorem,Cantor's Theorem,mathematics,Empirical,1891,Georg Cantor,https://conyso.com/lawtome/laws/cantors-theorem/
236,the-fundamental-theorem-of-arithmetic,The Fundamental Theorem of Arithmetic,mathematics,Empirical,1801,Carl Friedrich Gauss,https://conyso.com/lawtome/laws/the-fundamental-theorem-of-arithmetic/
237,the-prime-number-theorem,The Prime Number Theorem,mathematics,Empirical,1896,,https://conyso.com/lawtome/laws/the-prime-number-theorem/
238,the-anchoring-effect,The Anchoring Effect,psychology,Empirical,1974,Amos Tversky and Daniel Kahneman,https://conyso.com/lawtome/laws/the-anchoring-effect/
239,the-availability-heuristic,The Availability Heuristic,psychology,Empirical,1973,Amos Tversky and Daniel Kahneman,https://conyso.com/lawtome/laws/the-availability-heuristic/
240,confirmation-bias,Confirmation Bias,psychology,Empirical,1960,Peter Wason,https://conyso.com/lawtome/laws/confirmation-bias/
242,loss-aversion,Loss Aversion,psychology,Contested,1979,Daniel Kahneman and Amos Tversky,https://conyso.com/lawtome/laws/loss-aversion/
243,the-endowment-effect,The Endowment Effect,psychology,Contested,1980,Richard Thaler,https://conyso.com/lawtome/laws/the-endowment-effect/
244,the-mere-exposure-effect,The Mere-Exposure Effect,psychology,Empirical,1968,Robert Zajonc,https://conyso.com/lawtome/laws/the-mere-exposure-effect/
245,cognitive-dissonance,Cognitive Dissonance,psychology,Empirical,1957,Leon Festinger,https://conyso.com/lawtome/laws/cognitive-dissonance/
246,the-bystander-effect,The Bystander Effect,psychology,Contested,1968,John Darley and Bibb Latane,https://conyso.com/lawtome/laws/the-bystander-effect/
247,the-flynn-effect,The Flynn Effect,psychology,Empirical,1994,James Flynn,https://conyso.com/lawtome/laws/the-flynn-effect/
248,the-serial-position-effect,The Serial Position Effect,psychology,Empirical,1962,Hermann Ebbinghaus,https://conyso.com/lawtome/laws/the-serial-position-effect/
249,the-forer-effect,The Forer Effect,psychology,Empirical,1949,Bertram Forer,https://conyso.com/lawtome/laws/the-forer-effect/
252,the-law-of-truly-large-numbers,The Law of Truly Large Numbers,statistics,Heuristic,1989,Persi Diaconis and Frederick Mosteller,https://conyso.com/lawtome/laws/the-law-of-truly-large-numbers/
253,the-inspection-paradox,The Inspection Paradox,statistics,Empirical,1991,,https://conyso.com/lawtome/laws/the-inspection-paradox/
